_ID, TimeSt,Country,Province,City,Latitude,Longitude
4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123
4516547,2017-06-21 18:00:00.193,CA,ON,London,42.93990,-81.27090
4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.57760,-80.22010
4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.37160,-80.97730
4516613,2017-06-21 15:00:00.497,CA,ON,Stratford,43.37160,-80.97730
4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.43810,-80.50990
4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.96100,-82.37300
4516831,2017-06-21 12:00:00.950,CA,ON,London,43.00910,-81.17650
4516915,2017-06-21 15:00:01.310,CA,ON,London,43.00910,-81.17650
4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.42780,-80.51350
4516966,2017-06-21 01:00:01.787,CA,ON,Kitchener,43.43810,-80.50990
4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.28250,-83.03720
4517047,2017-06-21 12:00:00.950,CA,ON,London,43.00910,-81.17650
4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.24397,-82.98058
4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.77920,-81.19270
4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.46340,-80.52010
4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.42470,-82.17550
4517303,2017-06-21 03:00:00.287,CA,ON,Windsor,42.29570,-82.95990
4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.54250,-80.26760
4517347,2017-06-21 03:00:00.287,CA,ON,Windsor,42.29570,-82.95990
4517349,2017-06-21 14:00:00.420,CA,ON,Chatham,42.42470,-82.17550
4517420,2017-06-21 08:00:00.427,CA,ON,Guelph,43.52150,-80.23380
4517466,2017-06-21 03:00:01.157,CA,ON,Waterloo,43.46780,-80.58400
4517518,2017-06-21 21:00:01.333,CA,ON,Waterloo,43.46340,-80.52010
4517538,2017-06-21 21:00:01.427,CA,ON,Kitchener,43.44530,-80.49050
4517607,2017-06-21 01:00:01.623,CA,ON,Chatham,42.42470,-82.17550
4517697,2017-06-21 12:00:01.790,CA,ON,Windsor,42.32620,-82.90840
4517720,2017-06-21 22:00:01.843,CA,ON,Kitchener,43.43970,-80.43400
4517809,2017-06-21 17:00:00.030,CA,ON,London,43.03460,-81.25540
4517811,2017-06-21 12:00:00.150,CA,ON,Cambridge,43.41940,-80.32550
4517905,2017-06-21 17:00:00.183,CA,ON,Windsor,42.29570,-82.95990
4517999,2017-06-21 12:00:00.643,CA,ON,Kitchener,43.45530,-80.48450
4518000,2017-06-21 08:00:00.663,CA,ON,Kitchener,43.46760,-80.48470
4518002,2017-06-21 01:00:00.937,CA,ON,Kitchener,43.43970,-80.43400
4518061,2017-06-21 14:00:01.123,CA,ON,Waterloo,43.46780,-80.58400
4518130,2017-06-21 00:00:01.333,CA,ON,London,43.00040,-81.23430
4518153,2017-06-21 09:00:01.353,CA,ON,Guelph,43.54250,-80.26760
4518179,2017-06-21 08:00:00.663,CA,ON,Kitchener,43.46760,-80.48470
4518212,2017-06-21 16:00:01.413,CA,ON,Kitchener,43.42780,-80.51350
4518264,2017-06-21 04:00:01.453,CA,ON,Cambridge,43.38420,-80.29680
4518329,2017-06-21 14:00:01.797,CA,ON,London,42.93990,-81.27090
4518395,2017-06-21 08:00:02.080,CA,ON,Windsor,42.29080,-82.98700
4518430,2017-06-21 09:00:02.550,CA,ON,Brantford,43.17720,-80.24800
4518434,2017-06-21 10:00:02.610,CA,ON,Guelph,43.57760,-80.22010
4518512,2017-06-21 01:00:02.797,CA,ON,London,42.96110,-81.24310
4518585,2017-06-21 06:00:02.827,CA,ON,Guelph,43.57760,-80.22010
4518676,2017-06-21 05:00:02.857,CA,ON,Kitchener,43.43970,-80.43400
4518758,2017-06-21 13:00:02.867,CA,ON,Kitchener,43.43970,-80.43400
4518814,2017-06-21 13:00:03.793,CA,ON,Cambridge,43.38420,-80.29680
4518832,2017-06-21 03:00:03.903,CA,ON,Kitchener,43.43970,-80.43400
4518887,2017-06-21 18:00:04.017,CA,ON,Waterloo,43.46340,-80.52010
4518918,2017-06-21 08:00:04.167,CA,ON,London,42.93990,-81.27090
4518952,2017-06-21 06:00:00.217,CA,ON,Kitchener,43.41930,-80.38260
4518992,2017-06-21 09:00:00.380,CA,ON,Waterloo,43.46780,-80.58400
4519004,2017-06-21 07:00:00.747,CA,ON,Tillsonburg,42.86185,-80.72991
4519038,2017-06-21 07:00:00.803,CA,ON,Windsor,42.22870,-83.01820
4519066,2017-06-21 07:00:00.747,CA,ON,Tillsonburg,42.86185,-80.72991
4519097,2017-06-21 02:00:00.823,CA,ON,London,42.93990,-81.27090
4519118,2017-06-21 19:00:00.910,CA,ON,Windsor,42.22870,-83.01820
4519156,2017-06-21 10:00:01.010,CA,ON,Windsor,42.22870,-83.01820
4519209,2017-06-21 00:00:01.257,CA,ON,Hanover,44.15170,-81.02660
4519287,2017-06-21 10:00:01.360,CA,ON,Kitchener,43.39040,-80.43170
4519378,2017-06-21 02:00:02.290,CA,ON,Kitchener,43.43970,-80.43400
4519477,2017-06-21 08:00:02.710,CA,ON,Windsor,42.29570,-82.95990
4519555,2017-06-21 22:00:03.890,CA,ON,Waterloo,43.46630,-80.54020
4519604,2017-06-21 22:00:04.240,CA,ON,Kitchener,43.41930,-80.38260
4519633,2017-06-21 10:00:04.303,CA,ON,London,42.96990,-81.20810
4519710,2017-06-21 01:00:04.413,CA,ON,Kitchener,43.29940,-80.44960
4519736,2017-06-21 01:00:01.890,CA,ON,Kitchener,43.43810,-80.50990
4519766,2017-06-21 10:00:02.067,CA,ON,Windsor,42.25450,-82.98090
